Node,CST,Tx power,IP address,x,y,z
7,-82,0,10.1.4.2,42.1708,36.3704,1.5
8,-82,0,10.1.5.1,3.4875,7.23949,1.5
9,-82,0,10.1.5.2,3.34964,10.2363,1.5
10,-82,0,10.1.6.1,25.548,39.5898,1.5
11,-82,0,10.1.6.2,22.6786,40.4653,1.5
12,-82,0,10.1.7.1,10.5805,45.4275,1.5
13,-82,0,10.1.7.2,10.8821,48.4123,1.5
14,-82,0,10.1.8.1,21.3122,21.2704,1.5
15,-82,0,10.1.8.2,21.775,18.3063,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,21.201,35.5538,1.5
1,-82,0,10.1.1.2,23.5837,33.7311,1.5
2,-82,0,10.1.2.1,4.23839,40.8449,1.5
3,-82,0,10.1.2.2,7.09271,39.9213,1.5
4,-82,0,10.1.3.1,21.7819,20.0628,1.5
5,-82,0,10.1.3.2,24.5281,21.2703,1.5
6,-82,0,10.1.4.1,18.8772,41.1134,1.5
7,-82,0,10.1.4.2,16.1407,42.3429,1.5
8,-82,0,10.1.5.1,16.5698,12.5476,1.5
9,-82,0,10.1.5.2,19.1389,14.0968,1.5
10,-82,0,10.1.6.1,35.2991,5.23847,1.5
11,-82,0,10.1.6.2,37.4154,7.36482,1.5
12,-82,0,10.1.7.1,16.0136,7.57801,1.5
13,-82,0,10.1.7.2,15.5029,4.6218,1.5
14,-82,0,10.1.8.1,23.5351,23.6558,1.5
15,-82,0,10.1.8.2,20.751,24.7732,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,36.7428,42.2102,1.5
1,-82,0,10.1.1.2,38.8431,40.068,1.5
2,-82,0,10.1.2.1,8.86719,3.46938,1.5
3,-82,0,10.1.2.2,10.0449,0.710219,1.5
4,-82,0,10.1.3.1,26.4172,9.70862,1.5
5,-82,0,10.1.3.2,29.4098,9.9196,1.5
6,-82,0,10.1.4.1,36.8704,46.4808,1.5
7,-82,0,10.1.4.2,33.9526,47.1782,1.5
8,-82,0,10.1.5.1,33.843,33.688,1.5
9,-82,0,10.1.5.2,36.8412,33.5842,1.5
10,-82,0,10.1.6.1,10.5538,39.8511,1.5
11,-82,0,10.1.6.2,13.4094,40.7707,1.5
12,-82,0,10.1.7.1,42.3787,26.9642,1.5
13,-82,0,10.1.7.2,43.5228,24.1909,1.5
14,-82,0,10.1.8.1,25.086,27.3343,1.5
15,-82,0,10.1.8.2,24.054,24.5174,1.5
Node,CST,Tx power,IP address,x,y,z
0,-82,0,10.1.1.1,26.7994,40.4761,1.5
1,-82,0,10.1.1.2,28.3834,37.9283,1.5
2,-82,0,10.1.2.1,11.4773,35.647,1.5
3,-82,0,10.1.2.2,14.3862,34.9135,1.5
4,-82,0,10.1.3.1,16.6174,42.4217,1.5
