Node,CST,Tx power,IP address,x,y,z
15,-82,0,10.1.8.2,95.6716,67.314,1.5
16,-82,0,10.1.9.1,49.0538,76.7126,1.5
17,-82,0,10.1.9.2,49.8097,76.0579,1.5
18,-82,0,10.1.10.1,53.286,30.634,1.5
19,-82,0,10.1.10.2,52.8361,31.5271,1.5
20,-82,0,10.1.11.1,28.1403,64.5252,1.5
21,-82,0,10.1.11.2,27.3953,63.8582,1.5
22,-82,0,10.1.12.1,67.0624,35.9667,1.5
23,-82,0,10.1.12.2,66.8614,36.9463,1.5
24,-82,0,10.1.13.1,55.7142,71.9407,1.5
25,-82,0,10.1.13.2,55.6729,70.9415,1.5
26,-82,0,10.1.14.1,26.8706,19.5953,1.5
27,-82,0,10.1.14.2,26.1182,20.2541,1.5
28,-82,0,10.1.15.1,39.818,86.9045,1.5
